mericarp_num,ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,width,depth,spine_length,tip_distance,spine_num,lower_spines
42,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.61,1.65,3.26,0,0,2,0
43,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.63,3.96,5.74,1.25,3.12,2,0
44,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.29,3.26,5.06,0,0,2,0
45,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.99,3.75,5.32,1.44,4.95,2,0
46,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.67,3.7,5.23,0,0,2,0
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,7.1,5.12,5.99,0,0,2,0
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.42,2.5,3.75,0,0,2,0
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.74,3.11,4.83,2.94,6.97,4,1
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.21,2.46,4.59,2.27,4.93,2,0
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.59,3.18,4.83,1.96,5.78,4,1
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.92,2.81,5.06,3.17,6.51,4,1
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.93,2.89,5.12,3.44,8.13,4,1
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,7.1,3.21,5.74,3.66,8.02,4,1
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.21,2.93,4.94,2.56,6.11,4,1
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.01,2.61,4.01,2.67,5.79,4,1
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,6.07,2.93,5.28,3.19,6.51,4,1
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,4.73,2.64,4.12,2.66,6.39,4,1
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.85,2.71,5.03,2.71,5.96,4,1
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.75,3.16,4.61,3.79,7.79,4,1
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,,19,6.52,2.87,4.76,1.97,5.04,4,1
