ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,width,width_log,width_sqr
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.03,1.1085626195212777,1.740689518552921
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.18,1.1568811967920856,1.783255450012701
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.97,1.0885619528146082,1.7233687939614086
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.25,1.1786549963416462,1.8027756377319946
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.05,1.3987168811184478,2.0124611797498106
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.81,1.3376291891386096,1.9519221295943134
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.8,1.33500106673234,1.9493588689617927
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.87,1.3532545070416904,1.9672315572906003
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.38,1.2178757094949273,1.8384776310850235
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.39,1.220829921392359,1.841195263952197
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.9,1.3609765531356006,1.9748417658131499
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,2.97,1.0885619528146082,1.7233687939614086
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.1,1.1314021114911006,1.760681686165901
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,2.05,0.7178397931503168,1.4317821063276353
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,2.87,1.0543120297715298,1.6941074346097416
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,3.25,1.1786549963416462,1.8027756377319946
CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,North,32,2.83,1.0402767116551463,1.6822603841260722
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,3.62,1.2864740258376797,1.9026297590440449
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,3.58,1.275362800412609,1.8920887928424501
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,3.77,1.3270750014599193,1.9416487838947598
CDRS_57135,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,Academy Bay,36,2.73,1.0043016091968684,1.6522711641858305
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.93,1.075002423028976,1.711724276862369
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.26,1.1817271953786161,1.8055470085267789
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,6.61,1.888583653863595,2.570992026436488
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.37,1.2149127443642704,1.835755975068582
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.54,0.9321640810304452,1.5937377450509227
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.59,1.2781522025001875,1.8947295321496416
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.98,1.091923300517313,1.7262676501632068
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.85,1.0473189942805592,1.6881943016134133
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.92,1.0715836162801904,1.7088007490635062
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.83,1.0402767116551463,1.6822603841260722
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.26,0.8153648132841944,1.5033296378372907
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.49,1.2499017362143359,1.8681541692269406
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.12,1.1378330018213911,1.7663521732655694
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.81,1.3376291891386096,1.9519221295943134
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.43,0.8878912573524571,1.5588457268119895
CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.62,0.9631743177730056,1.6186414056238645
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.4,0.8754687373538999,1.5491933384829668
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.63,0.9669838461896731,1.6217274740226855
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.53,0.9282193027394288,1.5905973720586866
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.22,1.169381359556317,1.794435844492636
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.85,1.0473189942805592,1.6881943016134133
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.61,0.959350221334602,1.6155494421403511
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.4,0.8754687373538999,1.5491933384829668
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.79,1.0260415958332743,1.6703293088490065
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.57,0.9439058989071284,1.6031219541881396
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,3.34,1.205970806988609,1.8275666882497066
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.91,1.0681530811834012,1.705872210923198
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.44,0.8919980393051105,1.5620499351813308
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.76,1.0152306797290584,1.6613247725836149
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,38,2.54,0.9321640810304452,1.5937377450509227
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.89,1.0612565021243408,1.7
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.42,1.2296405510745139,1.849324200890693
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.78,1.0224509277025455,1.6673332000533065
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.09,1.4085449700547104,2.0223748416156684
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.43,1.2325602611778486,1.8520259177452134
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.87,1.3532545070416904,1.9672315572906003
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.89,1.358409157630355,1.972308292331602
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.89,1.358409157630355,1.972308292331602
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.19,1.1600209167967532,1.786057109949175
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.53,1.2612978709452054,1.8788294228055935
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.78,1.0224509277025455,1.6673332000533065
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.08,1.1249295969854831,1.7549928774784245
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.79,1.0260415958332743,1.6703293088490065
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.73,1.3164082336557241,1.9313207915827966
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.12,1.1378330018213911,1.7663521732655694
CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.04,1.1118575154181303,1.7435595774162693
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,4.21,1.43746264769429,2.0518284528683193
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.89,1.0612565021243408,1.7
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.94,1.0784095813505903,1.7146428199482247
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3.34,1.205970806988609,1.8275666882497066
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,3,1.0986122886681098,1.7320508075688772
CDRS_57138,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,Punta Suarez,39,2.89,1.0612565021243408,1.7
