ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,lower_spines
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,1
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,1
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,1
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,1
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,1
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,1
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,1
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,1
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,1
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,0
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,0
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,0
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,0
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,0
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,0
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,0
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,1
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,1
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,0
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,1
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,1
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,0
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,0
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,0
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,0
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,0
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,1
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,1
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,1
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,1
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,1
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,1
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,1
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,1
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,1
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,1
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,1
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,1
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,1
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,1
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,1
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,1
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,1
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,1
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,1
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,1
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,1
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,1
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,1
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,1
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,1
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,1
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,0
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,0
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,0
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,0
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,0
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,0
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,0
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,0
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,0
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,0
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,0
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,0
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,0
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,0
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,0
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,0
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,0
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,0
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,0
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,0
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,0
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,0
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,0
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,0
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,0
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,0
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,0
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,0
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,0
