ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_length,spine_length_log,spine_length_sqr
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,1.96,1.085189268335969,1.4
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,3.17,1.4279160358107101,1.7804493814764855
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,3.44,1.4906543764441333,1.8547236990991407
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,3.66,1.5390154481375546,1.9131126469708992
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,2.56,1.269760544863939,1.6
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,2.67,1.3001916620664788,1.6340134638368191
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,3.19,1.4327007339340463,1.786057109949175
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,2.66,1.297463147413275,1.6309506430300091
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,2.71,1.3110318766193438,1.6462077633154328
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,3.79,1.5665304114228238,1.9467922333931784
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,1.97,1.0885619528146082,1.40356688476182
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,3.03,1.3937663759585914,1.740689518552921
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,2.76,1.324418957401803,1.6613247725836149
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,2.87,1.3532545070416904,1.6941074346097416
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,3.77,1.5623463049002497,1.9416487838947598
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,3.37,1.4747630091074988,1.835755975068582
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,3.27,1.451613827240533,1.8083141320025125
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,2.11,1.1346227261911428,1.452583904633395
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,0,0,0
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,3.14,1.420695787837223,1.772004514666935
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,2.64,1.2919836816486494,1.624807680927192
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,1.58,0.9477893989335261,1.2569805089976536
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.1,1.8082887711792655,2.258317958127243
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,3.39,1.4793292270870801,1.841195263952197
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,3.47,1.4973884086254776,1.862793601019716
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,4.95,1.7833912195575383,2.224859546128699
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,2.23,1.172482137234565,1.493318452306808
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,2.5,1.252762968495368,1.5811388300841898
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,2.78,1.3297240096314962,1.6673332000533065
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,3.67,1.541159071680806,1.9157244060668017
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,1.92,1.0715836162801904,1.3856406460551018
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,1.64,0.9707789171582246,1.2806248474865698
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,3.95,1.599387576580599,1.9874606914351791
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,3.41,1.4838746894587547,1.8466185312619388
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,0,0,0
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,0,0,0
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,0,0,0
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,0,0,0
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,0,0,0
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,3.24,1.4445632692438664,1.8
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.04,1.6174060820832772,2.009975124224178
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,3.77,1.5623463049002497,1.9416487838947598
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,1.66,0.9783261227936078,1.2884098726725126
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,1.92,1.0715836162801904,1.3856406460551018
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,2.87,1.3532545070416904,1.6941074346097416
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,2.74,1.3190856114264407,1.6552945357246849
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,1.91,1.0681530811834012,1.3820274961085253
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,2.87,1.3532545070416904,1.6941074346097416
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,2.19,1.1600209167967532,1.4798648586948742
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,0,0,0
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,3.54,1.5129270120532565,1.8814887722226779
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,1.95,1.0818051703517284,1.396424004376894
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,2.41,1.2267122912954254,1.5524174696260025
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,3.34,1.4678743481123135,1.8275666882497066
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,2.99,1.3837912309017721,1.7291616465790582
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,6.7,2.0412203288596382,2.588435821108957
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,1.89,1.0612565021243408,1.374772708486752
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,2.41,1.2267122912954254,1.5524174696260025
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,3.74,1.556037135706985,1.9339079605813716
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,3.22,1.4398351280479207,1.794435844492636
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,0,0,0
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,0,0,0
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,3.51,1.506297153514587,1.8734993995195195
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,1.57,0.9439058989071285,1.2529964086141667
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4.05,1.6193882432872684,2.0124611797498106
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,4.44,1.6937790608678513,2.1071307505705477
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,4.21,1.6505798557652755,2.0518284528683193
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,3.31,1.4609379041156565,1.8193405398660252
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,5.67,1.8976198599275322,2.3811761799581315
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,5.78,1.9139771019523042,2.4041630560342617
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,6.54,2.020222182019865,2.5573423705088842
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,7.22,2.1065702090680882,2.6870057685088806
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,3.01,1.3887912413184778,1.7349351572897471
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,4.39,1.6845453849209058,2.0952326839756963
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,3.91,1.5912739418064292,1.977371993328519
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,4.4,1.6863989535702288,2.0976176963403033
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,5.28,1.8373699804801074,2.2978250586152114
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,5.19,1.8229350866965048,2.2781571499789037
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,4.78,1.7544036826842861,2.186321110907545
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,6.58,2.0255131996542803,2.565151067676132
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,4.9,1.7749523509116738,2.2135943621178655
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,4.17,1.6428726885203377,2.0420577856662137
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,4.99,1.7900914121273581,2.233830790368868
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,6.08,1.9572739077056285,2.4657656011875906
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,4.25,1.6582280766035324,2.0615528128088303
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,4.03,1.6154199841116479,2.0074859899884734
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,3.37,1.4747630091074988,1.835755975068582
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,4.95,1.7833912195575383,2.224859546128699
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,5.61,1.888583653863595,2.3685438564654024
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,3.94,1.597365331199831,1.9849433241279208
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,4.75,1.749199854809259,2.179449471770337
