ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,spine_length,spine_length_log,spine_length_sqr
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.94,1.3711807233098425,1.7146428199482247
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.27,1.184789984909162,1.5066519173319364
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,1.96,1.085189268335969,1.4
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.17,1.4279160358107101,1.7804493814764855
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.44,1.4906543764441333,1.8547236990991407
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,3.66,1.5390154481375546,1.9131126469708992
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.56,1.269760544863939,1.6
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,2.67,1.3001916620664788,1.6340134638368191
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,3.19,1.4327007339340463,1.786057109949175
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,2.66,1.297463147413275,1.6309506430300091
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,2.71,1.3110318766193438,1.6462077633154328
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,3.79,1.5665304114228238,1.9467922333931784
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,1.97,1.0885619528146082,1.40356688476182
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,3.03,1.3937663759585914,1.740689518552921
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,2.76,1.324418957401803,1.6613247725836149
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,2.87,1.3532545070416904,1.6941074346097416
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,3.77,1.5623463049002497,1.9416487838947598
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,3.37,1.4747630091074988,1.835755975068582
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,3.27,1.451613827240533,1.8083141320025125
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,2.11,1.1346227261911428,1.452583904633395
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,0,0,0
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.14,1.420695787837223,1.772004514666935
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,2.64,1.2919836816486494,1.624807680927192
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,1.58,0.9477893989335261,1.2569805089976536
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.1,1.8082887711792655,2.258317958127243
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.39,1.4793292270870801,1.841195263952197
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.47,1.4973884086254776,1.862793601019716
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.95,1.7833912195575383,2.224859546128699
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,2.23,1.172482137234565,1.493318452306808
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,2.5,1.252762968495368,1.5811388300841898
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,2.78,1.3297240096314962,1.6673332000533065
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.67,1.541159071680806,1.9157244060668017
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,1.92,1.0715836162801904,1.3856406460551018
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,1.64,0.9707789171582246,1.2806248474865698
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,3.95,1.599387576580599,1.9874606914351791
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,3.41,1.4838746894587547,1.8466185312619388
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,3.24,1.4445632692438664,1.8
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,4.04,1.6174060820832772,2.009975124224178
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,3.77,1.5623463049002497,1.9416487838947598
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,1.66,0.9783261227936078,1.2884098726725126
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,1.92,1.0715836162801904,1.3856406460551018
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.87,1.3532545070416904,1.6941074346097416
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.74,1.3190856114264407,1.6552945357246849
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,1.91,1.0681530811834012,1.3820274961085253
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.87,1.3532545070416904,1.6941074346097416
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.19,1.1600209167967532,1.4798648586948742
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,0,0,0
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.54,1.5129270120532565,1.8814887722226779
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,1.95,1.0818051703517284,1.396424004376894
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.41,1.2267122912954254,1.5524174696260025
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,3.34,1.4678743481123135,1.8275666882497066
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,2.99,1.3837912309017721,1.7291616465790582
