ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,tip_distance,tip_distance_log,tip_distance_sqr
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,0,0,0
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.97,2.075684492802124,2.640075756488817
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,4.93,1.780024213009634,2.2203603311174516
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.78,1.9139771019523042,2.4041630560342617
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.51,2.0162354657760435,2.5514701644346145
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,8.13,2.211565694606877,2.8513154858766505
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,8.02,2.199444334074532,2.831960451701259
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.11,1.9615022438151495,2.471841418861655
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.79,1.9154509415706047,2.406241883103193
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,6.51,2.0162354657760435,2.5514701644346145
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,6.39,2.0001277349601105,2.5278449319529077
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.96,1.9401794743463283,2.4413111231467406
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,7.79,2.1736147116970854,2.7910571473905725
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.04,1.7984040119467235,2.244994432064365
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,6.26,1.9823798288367047,2.5019992006393608
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.83,1.9213246735826988,2.414539293529927
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,4.54,1.7119945007591924,2.130727575266252
CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,NA,19,5.93,1.9358598132018119,2.435159132377184
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,4.37,1.6808279085207734,2.090454496036687
CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,NA,20,7.34,2.1210632163706555,2.7092434368288134
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,5.37,1.851599469584072,2.3173260452512934
CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Bainbridge,21,0,0,0
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,7.5,2.1400661634962708,2.7386127875258306
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,7.83,2.178155014615869,2.7982137159266447
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.51,1.706564623164823,2.12367605815953
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,3.86,1.5810384379124023,1.96468827043885
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,8.15,2.21375387928743,2.8548204847240397
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,9.92,2.390595970316759,3.1496031496047245
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,11.54,2.5289235352047745,3.3970575502926055
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.78,1.9139771019523042,2.4041630560342617
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,6.73,2.0451088625993306,2.5942243542145698
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,5.55,1.8794650496471605,2.355843797877949
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,7.53,2.143589361503588,2.7440845468024486
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.86,1.7681496035889213,2.2045407685048604
CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,1,Cerro Punta Pitt,24,4.01,1.6114359150967734,2.0024984394500787
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,10.08,2.405141681319138,3.1749015732775088
CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Botadero,25,6.49,2.0135687975291283,2.5475478405713994
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Puerto Villamil,27,0,0,0
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,6.89,2.065596134857783,2.6248809496813372
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,6.52,2.017566137961748,2.553429066960741
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,6.72,2.0438143640366846,2.592296279363144
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,3.69,1.5454325824581878,1.9209372712298547
CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Volcan Sierra Negra,28,2.81,1.3376291891386096,1.676305461424021
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.74,2.046401687601636,2.596150997149434
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.71,2.0425181875752383,2.5903667693977237
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.03,2.0831845279586703,2.6514147167125706
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,4.54,1.7119945007591924,2.130727575266252
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.96,1.9401794743463283,2.4413111231467406
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,0,0,0
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.98,2.0769384114617173,2.6419689627245813
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,5.95,1.9387416595767009,2.4392621835300936
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,6.7,2.0412203288596382,2.588435821108957
CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,1,Baltra Airport,31,7.17,2.1004689088719113,2.677685567799177
