ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,length_log,length_sqr
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,7.1,1.9600947840472698,2.6645825188948455
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,4.42,1.4861396960896067,2.1023796041628637
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,6.74,1.9080599249242156,2.596150997149434
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,5.21,1.6505798557652755,2.2825424421026654
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,6.59,1.8855533485144158,2.567099530598687
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.92,1.7783364488959144,2.4331050121192876
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.93,1.780024213009634,2.435159132377184
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,7.1,1.9600947840472698,2.6645825188948455
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,6.21,1.8261608959453874,2.4919871588754225
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,6.01,1.7934247485471162,2.4515301344262523
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,6.07,1.803358605071407,2.463736998950984
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.73,1.5539252025038417,2.1748563170931545
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.85,1.766441661243765,2.4186773244895647
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,5.75,1.749199854809259,2.3979157616563596
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,6.52,1.8748743759385615,2.553429066960741
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,7.09,1.958685340544036,2.6627053911388696
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,5.58,1.7191887763932197,2.3622023622035435
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.73,1.5539252025038417,2.1748563170931545
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,5.46,1.6974487897568136,2.3366642891095846
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,7.44,2.0068708488450007,2.727636339397171
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,6.68,1.8991179875485542,2.584569596664017
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,4.43,1.4883995840570443,2.1047565179849186
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,4.9,1.589235205116581,2.2135943621178655
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.51,1.706564623164823,2.3473389188611002
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.47,1.6992786164338898,2.3388031127052997
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.53,1.5107219394949427,2.1283796653792764
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.87,1.7698546338400052,2.4228082879171433
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,6.27,1.8357763546448294,2.5039968051097827
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,8.04,2.0844290831908747,2.835489375751565
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,7.61,2.0294631718735947,2.7586228448267445
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.21,1.8261608959453874,2.4919871588754225
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,5.13,1.6351056591826783,2.264950330581225
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,6.24,1.8309801823813363,2.4979991993593593
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,6.27,1.8357763546448294,2.5039968051097827
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,5.76,1.7509374747078,2.4
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,5.45,1.6956156086751528,2.3345235059857505
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,6.62,1.890095369948917,2.5729360660537215
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,5.64,1.7298840655099674,2.3748684174075834
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.23,1.6544112780768316,2.2869193252058544
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.9,1.589235205116581,2.2135943621178655
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.67,1.541159071680806,2.1610182784974308
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,5.18,1.6448050562713916,2.2759613353482084
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,3.79,1.332366019094335,1.9467922333931784
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.81,1.7595805708638197,2.41039415863879
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,5.81,1.7595805708638197,2.41039415863879
