ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,depth,depth_log,depth_sqr
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,5.99,1.7900914121273581,2.4474476501040834
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,3.75,1.3217558399823195,1.9364916731037085
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,4.83,1.5748464676644813,2.1977260975835913
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,4.59,1.5238800240724537,2.142428528562855
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,4.83,1.5748464676644813,2.1977260975835913
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.06,1.6213664832993742,2.2494443758403984
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.12,1.6331544390514163,2.262741699796952
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,5.74,1.747459210331475,2.3958297101421877
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,4.94,1.5973653311998313,2.222611077089287
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,4.01,1.3887912413184778,2.0024984394500787
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,5.28,1.6639260977181702,2.2978250586152114
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.12,1.415853163361435,2.029778313018444
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.03,1.6154199841116479,2.2427661492005804
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,4.61,1.5282278570085572,2.147091055358389
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,4.76,1.5602476682433286,2.181742422927143
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,5.14,1.6370530794670737,2.2671568097509267
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,4.46,1.4951487660319727,2.1118712081942874
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.04,1.3962446919730587,2.009975124224178
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,4.42,1.4861396960896067,2.1023796041628637
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,4.03,1.3937663759585917,2.0074859899884734
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,4.85,1.5789787049493917,2.202271554554524
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,3.57,1.2725655957915476,1.8894443627691184
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,4.77,1.5623463049002497,2.1840329667841556
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,4.87,1.5830939370944985,2.2068076490713913
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,4.84,1.5769147207285403,2.2
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.33,1.4655675420143985,2.080865204668481
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,4.71,1.5496879080283263,2.1702534414210706
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,5,1.6094379124341003,2.23606797749979
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,6.39,1.8547342683894434,2.5278449319529077
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,5.29,1.665818245870208,2.3
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.03,1.7967470107390942,2.455605831561735
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,4.52,1.5085119938441398,2.1260291625469296
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,4.52,1.5085119938441398,2.1260291625469296
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,4.88,1.5851452198650557,2.209072203437452
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,5.19,1.6467336971777973,2.2781571499789037
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,4.84,1.5769147207285403,2.2
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4.33,1.4655675420143985,2.080865204668481
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,3.63,1.2892326482767593,1.905255888325765
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,4.51,1.506297153514587,2.12367605815953
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.43,1.4883995840570443,2.1047565179849186
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.48,1.4996230464268938,2.1166010488516727
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4.26,1.449269160281279,2.0639767440550294
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,2.7,0.9932517730102834,1.6431676725154984
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,4.36,1.472472057360943,2.08806130178211
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.32,1.463255402256019,2.078460969082653
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.23,1.4422019930581866,2.0566963801203135
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,3.35,1.208960345836975,1.8303005217723127
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,3.07,1.1216775615991057,1.752141546793523
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,4.95,1.599387576580599,2.224859546128699
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,5.4,1.6863989535702288,2.32379000772445
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,6.08,1.8050046959780757,2.4657656011875906
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,4.82,1.572773928062509,2.195449840010015
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,5.02,1.6134299337036377,2.240535650240808
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4.67,1.541159071680806,2.1610182784974308
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,4.87,1.5830939370944985,2.2068076490713913
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,5.74,1.747459210331475,2.3958297101421877
