ind_num,ID,Herb_name,Herb_number,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,spine_length,tip_distance,spine_num,upper_spines,lower_spines,country,location,notes,latitude,longitude,Location notes,Temp,Temp_S,Prec,varP
39,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,4.93,3.37,3.87,0,0,4,0,1,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
40,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,7,4.93,2.78,3.99,0,0,4,0,1,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
41,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,8,4.45,2.01,4.12,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
42,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,9,3.61,1.65,3.26,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
43,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,10,5.63,3.96,5.74,1.25,3.12,2,1,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
44,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,11,5.29,3.26,5.06,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
45,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.99,3.75,5.32,1.44,4.95,2,1,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
46,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,13,5.67,3.7,5.23,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
47,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,7.1,5.12,5.99,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
48,CDRS_9051,CDRS,9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,4.42,2.5,3.75,0,0,2,0,0,Ecuador,Cabo Douglas,NA,-0.305556,-91.649749,,24.48333359,128.3874512,223,93.84077454
49,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,6.74,3.11,4.83,2.94,6.97,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
50,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,5.21,2.46,4.59,2.27,4.93,2,1,0,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
51,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,6.59,3.18,4.83,1.96,5.78,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
52,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.92,2.81,5.06,3.17,6.51,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
53,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.93,2.89,5.12,3.44,8.13,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
54,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,7.1,3.21,5.74,3.66,8.02,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
55,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,6.21,2.93,4.94,2.56,6.11,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
56,CDRS_9431,CDRS,9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,6.01,2.61,4.01,2.67,5.79,4,1,1,Ecuador,Punta Cevallos,NA,-1.4079744,-89.6278702,,23.76250076,180.6569672,497,78.00688934
57,CDRS_9780,CDRS,9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,6.07,2.93,5.28,3.19,6.51,4,1,1,Ecuador,Crater,NA,-0.423388,-90.371861,,24.35833359,164.7012787,137,102.7628937
58,CDRS_9780,CDRS,9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.73,2.64,4.12,2.66,6.39,4,1,1,Ecuador,Crater,NA,-0.423388,-90.371861,,24.35833359,164.7012787,137,102.7628937
59,CDRS_9780,CDRS,9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.85,2.71,5.03,2.71,5.96,4,1,1,Ecuador,Crater,NA,-0.423388,-90.371861,,24.35833359,164.7012787,137,102.7628937
60,CDRS_9780,CDRS,9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,5.75,3.16,4.61,3.79,7.79,4,1,1,Ecuador,Crater,NA,-0.423388,-90.371861,,24.35833359,164.7012787,137,102.7628937
61,CDRS_9850,CDRS,9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,6.52,2.87,4.76,1.97,5.04,4,1,1,Ecuador,NA,NA,-0.51391,-90.527785,,24.19918251,157.9533844,159.1986084,104.7648544
62,CDRS_9850,CDRS,9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,7.09,3.31,5.14,3.03,6.26,4,1,1,Ecuador,NA,NA,-0.51391,-90.527785,,24.19918251,157.9533844,159.1986084,104.7648544
63,CDRS_9850,CDRS,9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,5.58,2.82,4.46,2.76,5.83,4,1,1,Ecuador,NA,NA,-0.51391,-90.527785,,24.19918251,157.9533844,159.1986084,104.7648544
64,CDRS_9850,CDRS,9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.73,2.2,4.04,2.87,4.54,4,1,1,Ecuador,NA,NA,-0.51391,-90.527785,,24.19918251,157.9533844,159.1986084,104.7648544
65,CDRS_9850,CDRS,9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,5.46,2.85,4.42,3.77,5.93,4,1,1,Ecuador,NA,NA,-0.51391,-90.527785,,24.19918251,157.9533844,159.1986084,104.7648544
66,CDRS_9961,CDRS,9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,7.44,2.24,4.03,3.37,4.37,2,1,0,Ecuador,NA,NA,-0.580243,-90.160604,,24.44219017,168.9272461,189.1096039,107.4477463
67,CDRS_9961,CDRS,9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,6.68,3.38,4.85,3.27,7.34,2,1,0,Ecuador,NA,NA,-0.580243,-90.160604,,24.44219017,168.9272461,189.1096039,107.4477463
68,CDRS_12628,CDRS,12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,4.43,2.01,3.57,2.11,5.37,2,1,0,Ecuador,Bainbridge,NA,-0.358944,-90.565277,,24.60941696,151.0727997,177.7751617,102.5722046
69,CDRS_12628,CDRS,12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,4.9,1.67,4.77,0,0,2,0,0,Ecuador,Bainbridge,NA,-0.358944,-90.565277,,24.60941696,151.0727997,177.7751617,102.5722046
70,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.51,4.47,4.87,3.14,7.5,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
71,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.47,4.44,4.84,2.64,7.83,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
72,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.53,3.2,4.33,1.58,4.51,2,1,0,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
73,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.87,3.75,4.71,5.1,3.86,4,1,1,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
74,CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,6.27,3.32,5,3.39,8.15,4,1,1,Ecuador,Cerro Punta Pitt,NA,-0.70819444,-89.24333333,,24.07222176,169.8041534,483.6666565,85.86229706
