ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,tip_distance,spine_num,lower_spines,country,location,notes
39,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,6,4.93,3.37,3.87,0,4,1,Ecuador,Cabo Douglas,NA
40,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,7,4.93,2.78,3.99,0,4,1,Ecuador,Cabo Douglas,NA
41,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,8,4.45,2.01,4.12,0,2,0,Ecuador,Cabo Douglas,NA
42,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,9,3.61,1.65,3.26,0,2,0,Ecuador,Cabo Douglas,NA
43,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,10,5.63,3.96,5.74,3.12,2,0,Ecuador,Cabo Douglas,NA
44,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,11,5.29,3.26,5.06,0,2,0,Ecuador,Cabo Douglas,NA
45,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.99,3.75,5.32,4.95,2,0,Ecuador,Cabo Douglas,NA
46,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,13,5.67,3.7,5.23,0,2,0,Ecuador,Cabo Douglas,NA
47,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,14,7.1,5.12,5.99,0,2,0,Ecuador,Cabo Douglas,NA
48,CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,15,4.42,2.5,3.75,0,2,0,Ecuador,Cabo Douglas,NA
49,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,1,6.74,3.11,4.83,6.97,4,1,Ecuador,Punta Cevallos,NA
50,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,2,5.21,2.46,4.59,4.93,2,0,Ecuador,Punta Cevallos,NA
51,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,3,6.59,3.18,4.83,5.78,4,1,Ecuador,Punta Cevallos,NA
52,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,4,5.92,2.81,5.06,6.51,4,1,Ecuador,Punta Cevallos,NA
53,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,5,5.93,2.89,5.12,8.13,4,1,Ecuador,Punta Cevallos,NA
54,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,6,7.1,3.21,5.74,8.02,4,1,Ecuador,Punta Cevallos,NA
55,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,7,6.21,2.93,4.94,6.11,4,1,Ecuador,Punta Cevallos,NA
56,CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,8,6.01,2.61,4.01,5.79,4,1,Ecuador,Punta Cevallos,NA
57,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,1,6.07,2.93,5.28,6.51,4,1,Ecuador,Crater,NA
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4.73,2.64,4.12,6.39,4,1,Ecuador,Crater,NA
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,5.85,2.71,5.03,5.96,4,1,Ecuador,Crater,NA
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,5.75,3.16,4.61,7.79,4,1,Ecuador,Crater,NA
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,6.52,2.87,4.76,5.04,4,1,Ecuador,NA,NA
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,7.09,3.31,5.14,6.26,4,1,Ecuador,NA,NA
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,5.58,2.82,4.46,5.83,4,1,Ecuador,NA,NA
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4.73,2.2,4.04,4.54,4,1,Ecuador,NA,NA
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,5.46,2.85,4.42,5.93,4,1,Ecuador,NA,NA
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,7.44,2.24,4.03,4.37,2,0,Ecuador,NA,NA
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,6.68,3.38,4.85,7.34,2,0,Ecuador,NA,NA
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,4.43,2.01,3.57,5.37,2,0,Ecuador,Bainbridge,NA
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,4.9,1.67,4.77,0,2,0,Ecuador,Bainbridge,NA
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.51,4.47,4.87,7.5,2,0,Ecuador,Cerro Punta Pitt,NA
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.47,4.44,4.84,7.83,2,0,Ecuador,Cerro Punta Pitt,NA
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,4.53,3.2,4.33,4.51,2,0,Ecuador,Cerro Punta Pitt,NA
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,5.87,3.75,4.71,3.86,4,1,Ecuador,Cerro Punta Pitt,NA
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,6.27,3.32,5,8.15,4,1,Ecuador,Cerro Punta Pitt,NA
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,8.04,4.78,6.39,9.92,2,0,Ecuador,Cerro Punta Pitt,NA
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,7.61,3.44,5.29,11.54,4,1,Ecuador,Cerro Punta Pitt,NA
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.21,4.97,6.03,5.78,4,1,Ecuador,Cerro Punta Pitt,NA
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,5.13,2.43,4.52,6.73,2,0,Ecuador,Cerro Punta Pitt,NA
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,6.24,1.87,4.52,5.55,2,0,Ecuador,Cerro Punta Pitt,NA
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,6.27,2.86,4.88,7.53,2,0,Ecuador,Cerro Punta Pitt,NA
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,5.76,3.81,5.19,4.86,2,0,Ecuador,Cerro Punta Pitt,NA
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,5.45,4.14,4.84,4.01,2,0,Ecuador,Cerro Punta Pitt,NA
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,6.62,2.83,4.33,10.08,4,1,Ecuador,Botadero,NA
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,5.64,2.21,3.63,6.49,4,1,Ecuador,Botadero,NA
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.23,3.42,4.51,0,4,1,Ecuador,Puerto Villamil,NA
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4.9,2.76,4.43,0,4,1,Ecuador,Puerto Villamil,NA
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4.67,2.76,4.48,0,4,1,Ecuador,Puerto Villamil,NA
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,5.18,2.99,4.26,0,4,1,Ecuador,Puerto Villamil,NA
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,3.79,2.38,2.7,0,4,1,Ecuador,Puerto Villamil,NA
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,5.81,2.49,4.36,6.89,4,1,Ecuador,Volcan Sierra Negra,NA
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,5.81,2.3,4.32,6.52,4,1,Ecuador,Volcan Sierra Negra,NA
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,5.52,2.24,4.23,6.72,4,1,Ecuador,Volcan Sierra Negra,NA
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4.32,1.83,3.35,3.69,4,1,Ecuador,Volcan Sierra Negra,NA
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,4.33,1.53,3.07,2.81,4,1,Ecuador,Volcan Sierra Negra,NA
