ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,length,width,depth,tip_distance,spine_num,lower_spines,country,location,notes
380,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,18,7.55,3.25,4.14,12.11,4,1,Ecuador,Academy Bay,NA
381,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,19,7.78,3.48,3.41,8.41,2,0,Ecuador,Academy Bay,NA
382,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,20,6.84,2.81,3.46,11.32,2,0,Ecuador,Academy Bay,NA
383,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,21,6.66,3.41,3.62,1.29,4,1,Ecuador,Academy Bay,NA
384,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,22,5.62,2.82,3.32,9.99,4,1,Ecuador,Academy Bay,NA
385,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,23,6.94,3.3,3.22,8.37,4,1,Ecuador,Academy Bay,NA
386,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,24,6.49,4.24,3.8,11.48,2,0,Ecuador,Academy Bay,NA
387,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,25,6.28,3.2,3.2,8.81,4,1,Ecuador,Academy Bay,NA
388,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,26,6.16,2.64,3.03,12.08,4,1,Ecuador,Academy Bay,NA
389,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,27,6.4,2.71,3.04,7.99,4,1,Ecuador,Academy Bay,NA
390,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,28,6.89,3.56,3.69,9.32,4,1,Ecuador,Academy Bay,NA
391,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,29,7.99,2.77,3.66,10.41,4,1,Ecuador,Academy Bay,NA
392,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,30,7.34,4.17,3.71,8.99,2,0,Ecuador,Academy Bay,NA
393,CDRS_57145,Herbarium,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,31,6.74,3.38,3.95,8.73,4,1,Ecuador,Academy Bay,NA
394,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,1,6.08,3.53,5.54,0,2,0,Ecuador,Cabo Douglas,NA
395,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,2,5.98,3.21,4.73,0,2,0,Ecuador,Cabo Douglas,NA
396,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,3,7.09,4.61,6.06,0,2,0,Ecuador,Cabo Douglas,NA
397,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,4,4.33,2.53,2.28,0,2,0,Ecuador,Cabo Douglas,NA
398,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,5,5.96,3.85,4.77,0,2,0,Ecuador,Cabo Douglas,NA
399,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,6,4.95,2.93,4.87,0,2,0,Ecuador,Cabo Douglas,NA
400,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,7,4.01,1.77,3.35,0,2,0,Ecuador,Cabo Douglas,NA
401,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,8,5.68,2.5,4.18,0,2,0,Ecuador,Cabo Douglas,NA
402,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,9,4.32,1.81,3.23,0,2,0,Ecuador,Cabo Douglas,NA
403,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,10,5.96,3.61,4.84,0,2,0,Ecuador,Cabo Douglas,NA
404,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,11,7.08,4.31,5.69,0,2,0,Ecuador,Cabo Douglas,NA
405,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.85,3.35,4.12,0,2,0,Ecuador,Cabo Douglas,NA
406,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,13,7.76,4.91,6.25,0,2,0,Ecuador,Cabo Douglas,NA
407,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,14,6.61,4.39,5.21,0,2,0,Ecuador,Cabo Douglas,NA
408,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,15,4.56,1.74,3.09,0,2,0,Ecuador,Cabo Douglas,NA
409,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,16,5.39,2.75,4.5,0,2,0,Ecuador,Cabo Douglas,NA
410,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,17,5.49,3.58,4.6,0,2,0,Ecuador,Cabo Douglas,NA
411,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,18,4.42,1.91,3.29,0,2,0,Ecuador,Cabo Douglas,NA
412,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,19,5.22,2.93,3.9,0,2,0,Ecuador,Cabo Douglas,NA
413,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,20,5.44,2.58,3.91,0,2,0,Ecuador,Cabo Douglas,NA
414,Expedition_47,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,21,5.43,3.02,3.56,0,2,0,Ecuador,Cabo Douglas,NA
415,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,1,4.86,3.13,4.63,0,2,0,Ecuador,Cabo Douglas,NA
416,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,2,4.33,2.53,3.79,0,2,0,Ecuador,Cabo Douglas,NA
417,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,3,4.7,2.4,4.34,0,2,0,Ecuador,Cabo Douglas,NA
418,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,4,5.57,2.64,4.27,0,2,0,Ecuador,Cabo Douglas,NA
419,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,5,6.63,4.5,5.67,0,2,0,Ecuador,Cabo Douglas,NA
420,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,6,5.93,3.35,4.64,0,2,0,Ecuador,Cabo Douglas,NA
421,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,7,6.77,4.26,6.06,0,2,0,Ecuador,Cabo Douglas,NA
422,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,8,6.31,3.77,4.5,0,2,0,Ecuador,Cabo Douglas,NA
423,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,9,4.88,3.16,4.8,0,2,0,Ecuador,Cabo Douglas,NA
424,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,10,3.71,1.99,3.41,0,2,0,Ecuador,Cabo Douglas,NA
425,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,11,6.73,3.9,5.27,0,2,0,Ecuador,Cabo Douglas,NA
426,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,12,4.05,2.33,3.62,0,2,0,Ecuador,Cabo Douglas,NA
427,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,13,4.87,2.75,4.37,0,2,0,Ecuador,Cabo Douglas,NA
428,Expedition_48,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,14,6.07,3.4,5.41,0,2,0,Ecuador,Cabo Douglas,NA
429,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,1,6.82,3.27,5.37,0,2,0,Ecuador,Cabo Douglas,NA
430,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,2,5.21,2.38,3.87,0,2,0,Ecuador,Cabo Douglas,NA
431,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,3,5.33,2.97,4.19,0,2,0,Ecuador,Cabo Douglas,NA
432,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,4,6.14,3.12,4.89,4.75,2,0,Ecuador,Cabo Douglas,NA
433,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,5,5.71,2.62,3.83,0,2,0,Ecuador,Cabo Douglas,NA
434,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,6,6.56,3.43,5.23,0,4,1,Ecuador,Cabo Douglas,NA
435,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,7,6.35,2.86,4.29,0,4,1,Ecuador,Cabo Douglas,NA
436,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,8,4.61,2.26,3.56,0,2,0,Ecuador,Cabo Douglas,NA
437,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,9,6.26,3.07,4.92,0,4,1,Ecuador,Cabo Douglas,NA
438,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,10,4.73,2.32,3.9,0,2,0,Ecuador,Cabo Douglas,NA
439,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,11,6.91,3.23,5.33,0,2,0,Ecuador,Cabo Douglas,NA
440,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,12,5.77,2.24,4.21,0,2,0,Ecuador,Cabo Douglas,NA
441,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,13,6.56,2.73,4.98,0,2,0,Ecuador,Cabo Douglas,NA
442,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,14,7.3,3.52,5.49,0,2,0,Ecuador,Cabo Douglas,NA
443,Expedition_49,Natural Population,2017,South America,island,Galapagos,Galapagos,Fernandina,1,15,5.42,2.22,3.81,0,2,0,Ecuador,Cabo Douglas,NA
444,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,1,7.9,3.66,5.48,0,2,0,Ecuador,Punta Vicente Roca,NA
445,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,2,6.55,4.86,5.74,0,2,0,Ecuador,Punta Vicente Roca,NA
446,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,3,8.41,3.79,4.51,0,2,0,Ecuador,Punta Vicente Roca,NA
447,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,4,3.8,1.56,2.31,0,2,0,Ecuador,Punta Vicente Roca,NA
448,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,5,3.51,1.92,2.53,0,2,0,Ecuador,Punta Vicente Roca,NA
449,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,6,5.14,5.73,5.21,0,2,0,Ecuador,Punta Vicente Roca,NA
450,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,7,5.25,3.89,5.27,0,2,0,Ecuador,Punta Vicente Roca,NA
451,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,8,5.88,3.28,4.9,0,2,0,Ecuador,Punta Vicente Roca,NA
452,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,9,7.65,3.58,4.63,0,2,0,Ecuador,Punta Vicente Roca,NA
453,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,10,7.15,4.1,5.04,0,2,0,Ecuador,Punta Vicente Roca,NA
454,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,11,6.44,3.09,4.45,0,2,0,Ecuador,Punta Vicente Roca,NA
455,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,12,3.95,2.48,3.18,0,2,0,Ecuador,Punta Vicente Roca,NA
456,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,13,4.02,3,3.88,0,2,0,Ecuador,Punta Vicente Roca,NA
457,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,14,5.72,4.32,5.53,0,2,0,Ecuador,Punta Vicente Roca,NA
458,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,15,4.64,3.26,4.06,0,2,0,Ecuador,Punta Vicente Roca,NA
459,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,16,4.11,2.23,3.16,0,2,0,Ecuador,Punta Vicente Roca,NA
460,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,17,3.75,2.91,5.11,0,2,0,Ecuador,Punta Vicente Roca,NA
461,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,18,4.27,2.52,3.4,0,2,0,Ecuador,Punta Vicente Roca,NA
462,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,19,5.89,2.7,3.11,0,2,0,Ecuador,Punta Vicente Roca,NA
463,Expedition_50,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,20,4.5,2.45,3.14,0,2,0,Ecuador,Punta Vicente Roca,NA
464,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,1,4.07,2.22,2.98,3.92,2,0,Ecuador,Punta Vicente Roca,NA
465,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,2,5.43,4.14,5.08,7.6,2,0,Ecuador,Punta Vicente Roca,NA
466,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,3,3.62,2.13,3.3,8.35,2,0,Ecuador,Punta Vicente Roca,NA
467,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,4,4.44,3.4,4.34,5.55,4,1,Ecuador,Punta Vicente Roca,NA
468,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,5,5.25,3.72,4.58,6.99,2,0,Ecuador,Punta Vicente Roca,NA
469,Expedition_51,Natural Population,2017,South America,island,Galapagos,Galapagos,Isabela,1,6,5.46,4.05,5.34,7.34,4,1,Ecuador,Punta Vicente Roca,NA
470,Expedition_52,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,1,7.18,4.29,5.58,10.03,4,1,Ecuador,Puerto Egas,NA
471,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,1,7.59,2.9,5.45,15.69,2,0,Ecuador,Bahia Seymour,NA
472,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,2,6.24,3.36,5.09,14.34,2,0,Ecuador,Bahia Seymour,NA
473,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,3,7.73,3.89,5.63,14.41,2,0,Ecuador,Bahia Seymour,NA
474,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,4,6.98,3.02,5.49,15.11,2,0,Ecuador,Bahia Seymour,NA
475,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,5,6,2.37,4.45,9.03,2,0,Ecuador,Bahia Seymour,NA
476,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,6,5.51,2.69,4.13,0,2,0,Ecuador,Bahia Seymour,NA
477,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,7,5.31,2.19,3.77,6.75,2,0,Ecuador,Bahia Seymour,NA
478,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,8,6.29,2.91,4.64,14.74,2,0,Ecuador,Bahia Seymour,NA
479,Expedition_53,Natural Population,2017,South America,island,Galapagos,Galapagos,Seymour Norte,1,9,4.09,1.68,2.92,6.09,2,0,Ecuador,Bahia Seymour,NA
480,Expedition_54,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,6.46,2.84,5.02,12.06,4,1,Ecuador,Plazas,NA
481,Expedition_54,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,7.11,3.24,5.1,12.32,4,1,Ecuador,Plazas,NA
482,Expedition_54,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,5.87,3.8,4.77,11.54,4,1,Ecuador,Plazas,NA
483,Expedition_54,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,5.82,3.79,4.48,9.41,4,1,Ecuador,Plazas,NA
484,Expedition_55,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,7.95,4.51,5.82,10.16,4,1,Ecuador,Plazas,NA
485,Expedition_55,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,8.58,4.79,5.83,12.65,4,1,Ecuador,Plazas,NA
486,Expedition_55,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,6.92,2.6,5.05,11.77,4,1,Ecuador,Plazas,NA
487,Expedition_55,Natural Population,2017,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,6.66,2.63,5.4,11.34,4,1,Ecuador,Plazas,NA
488,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,1,5.2,2.1,3.97,7.64,2,0,Ecuador,Campeon,NA
489,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,2,4.24,1.82,3.84,5.23,2,0,Ecuador,Campeon,NA
490,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,3,5.67,2.41,4.65,8.76,2,0,Ecuador,Campeon,NA
491,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,4,4.48,1.9,3.98,3.11,2,0,Ecuador,Campeon,NA
492,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,5,5.37,2.78,4.59,7.67,2,0,Ecuador,Campeon,NA
493,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,6,4.11,1.98,4.18,7.66,2,0,Ecuador,Campeon,NA
494,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,7,5.53,2.65,5.09,8.48,2,0,Ecuador,Campeon,NA
495,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,8,4.44,2.14,4.23,7.24,2,0,Ecuador,Campeon,NA
496,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,9,5.63,2.37,4.38,4.06,2,0,Ecuador,Campeon,NA
497,Expedition_56,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,10,4.88,2.27,4.11,7.92,2,0,Ecuador,Campeon,NA
498,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,1,5.83,3.14,5.51,8.49,2,0,Ecuador,Campeon,NA
499,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,2,7.12,3.02,5.85,9.01,2,0,Ecuador,Campeon,NA
500,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,3,6.92,3.46,5.81,10.54,2,0,Ecuador,Campeon,NA
501,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,4,6.99,3.46,5.44,8.82,2,0,Ecuador,Campeon,NA
502,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,5,6.15,3.28,5.05,9.45,2,0,Ecuador,Campeon,NA
503,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,6,5.4,2.61,5.25,8.12,2,0,Ecuador,Campeon,NA
504,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,7,7.68,3.81,6.31,10.46,2,0,Ecuador,Campeon,NA
505,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,8,7.12,4,6.14,9.58,2,0,Ecuador,Campeon,NA
506,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,9,6.48,3.45,5.53,10.12,2,0,Ecuador,Campeon,NA
507,Expedition_57,Natural Population,2017,South America,island,Galapagos,Galapagos,Campeon,0,10,5.52,2.69,5.02,8.69,2,0,Ecuador,Campeon,NA
508,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,1,5.76,2.59,5.03,5.71,4,1,Ecuador,Punta Pitt,NA
509,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.73,3.14,4.91,5.6,4,1,Ecuador,Punta Pitt,NA
510,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,3,5.05,2.17,4.11,5.06,2,0,Ecuador,Punta Pitt,NA
511,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,4,6.59,3.71,5.37,8.51,4,1,Ecuador,Punta Pitt,NA
512,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,5,4.86,2.39,4.04,5.62,4,1,Ecuador,Punta Pitt,NA
513,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,6,6.07,3.53,4.75,6.38,2,0,Ecuador,Punta Pitt,NA
514,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,7,6.34,3.34,5.09,8.02,2,0,Ecuador,Punta Pitt,NA
515,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.41,3.5,5.21,7.9,4,1,Ecuador,Punta Pitt,NA
516,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,9,3.72,2.68,4.06,5.31,2,0,Ecuador,Punta Pitt,NA
517,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,10,3.81,2.49,3.72,5.92,4,1,Ecuador,Punta Pitt,NA
518,Expedition_58,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,11,3.73,2.11,3.58,4.54,2,0,Ecuador,Punta Pitt,NA
519,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,1,7.14,3.56,5.77,9.77,4,1,Ecuador,Punta Pitt,NA
520,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,2,5.69,2.93,5.02,7.31,4,1,Ecuador,Punta Pitt,NA
521,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,3,6.8,3.74,6.12,9.89,4,1,Ecuador,Punta Pitt,NA
522,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,4,6.81,3.91,5.77,9.78,4,1,Ecuador,Punta Pitt,NA
523,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,5,5.91,2.78,4.82,7.14,4,1,Ecuador,Punta Pitt,NA
524,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,6,6.67,3.66,5.69,7.4,4,1,Ecuador,Punta Pitt,NA
525,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,7,7.16,3.77,6.05,10.02,4,1,Ecuador,Punta Pitt,NA
526,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,8,6.85,3.83,6.12,9.25,4,1,Ecuador,Punta Pitt,NA
527,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,9,6.8,3.91,5.81,9.59,4,1,Ecuador,Punta Pitt,NA
528,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,10,5.89,2.94,4.68,7.13,4,1,Ecuador,Punta Pitt,NA
529,Expedition_59,Natural Population,2017,South America,island,Galapagos,Galapagos,San Cristobal,0,11,6.06,3.38,5.45,5.97,4,1,Ecuador,Punta Pitt,NA
530,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,1,5.69,3,4.76,8.21,2,0,Ecuador,Puerto Egas,NA
531,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,2,6.5,4.67,5.45,9.34,2,0,Ecuador,Puerto Egas,NA
532,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,3,7.62,3.9,6.05,10.96,2,0,Ecuador,Puerto Egas,NA
533,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,4,6.91,3.78,5.63,9.77,2,0,Ecuador,Puerto Egas,NA
534,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,5,7.22,3.78,5.79,10.69,2,0,Ecuador,Puerto Egas,NA
535,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,6,6.89,3.46,5.86,10.89,2,0,Ecuador,Puerto Egas,NA
536,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,7,6.66,3.67,5.19,8.08,2,0,Ecuador,Puerto Egas,NA
537,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,8,4.72,2.76,3.61,4.78,2,0,Ecuador,Puerto Egas,NA
538,Expedition_60,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,9,4.63,1.88,3.73,4.65,2,0,Ecuador,Puerto Egas,NA
539,Expedition_61,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,1,9.09,4.19,5.54,12.65,2,0,Ecuador,Puerto Egas,NA
540,Expedition_61,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,2,7.09,3.99,5.78,11.65,4,1,Ecuador,Puerto Egas,NA
541,Expedition_61,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,3,9.18,3.75,6.12,12.7,2,0,Ecuador,Puerto Egas,NA
542,Expedition_61,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,4,7.59,4.38,5.65,13.87,2,0,Ecuador,Puerto Egas,NA
543,Expedition_61,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,5,7.33,4.18,6.2,14.08,2,0,Ecuador,Puerto Egas,NA
544,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,1,4.63,2.16,3.43,5.01,2,0,Ecuador,Puerto Egas,NA
545,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,2,4.06,2.27,3.7,5.21,2,0,Ecuador,Puerto Egas,NA
546,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,3,6.27,3.29,4.38,10.64,2,0,Ecuador,Puerto Egas,NA
547,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,4,7.59,2.96,4.47,10.07,2,0,Ecuador,Puerto Egas,NA
548,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,5,5.85,3.49,4.23,6.85,2,0,Ecuador,Puerto Egas,NA
549,Expedition_62,Natural Population,2017,South America,island,Galapagos,Galapagos,Santiago,1,6,6.5,4.43,5.46,9.76,2,0,Ecuador,Puerto Egas,NA
