ind_num,ID,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,mericarp_num,spine_num
58,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,2,4
59,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,3,4
60,CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,4,4
61,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,1,4
62,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,2,4
63,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,3,4
64,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,4,4
65,CDRS_9850,Herbarium,1999,South America,island,Galapagos,Galapagos,Guy Fawkes Oeste,1,5,4
66,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,1,2
67,CDRS_9961,Herbarium,1999,South America,island,Galapagos,Galapagos,Plaza Norte,1,2,2
68,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,1,2
69,CDRS_12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,2,2
70,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,1,2
71,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,2,2
72,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,3,2
73,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,4,4
74,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,5,4
75,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,6,2
76,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,7,4
77,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,8,4
78,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,9,2
79,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,10,2
80,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,11,2
81,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,12,2
82,CDRS_13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,13,2
83,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,4
84,CDRS_16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,4
85,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,4
86,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4
87,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4
88,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4
89,CDRS_16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,4
90,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,1,4
91,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,2,4
92,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,3,4
93,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,4,4
94,CDRS_16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,5,4
95,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,1,4
96,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,2,4
97,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,3,4
98,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,4,4
99,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,5,4
100,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,6,4
101,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,7,4
102,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,8,4
103,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,9,4
104,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,10,4
105,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,11,4
106,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,12,4
107,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,13,4
108,CDRS_43184,Herbarium,2008,South America,island,Galapagos,Galapagos,Baltra,0,14,4
109,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,1,2
110,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,2,2
111,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,3,2
112,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,4,2
113,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,5,2
114,CDRS_43798,Herbarium,1998,South America,island,Galapagos,Galapagos,Enderby,0,6,2
115,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,1,2
116,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,2,2
117,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,3,2
118,CDRS_5632,Herbarium,2014,South America,island,Galapagos,Galapagos,Santa Cruz,1,4,2
119,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,2
120,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,2
121,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,2
122,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,2
123,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,2
124,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,2
125,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,2
126,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,2
127,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,2
128,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,2
129,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,2
130,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,2
131,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,2
132,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,14,2
133,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,15,2
134,CDRS_57135,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,16,2
135,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,1,2
136,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,2,2
137,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,3,2
138,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,4,2
139,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,5,2
140,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,6,2
141,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,7,2
142,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,8,2
143,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,9,2
144,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,10,2
145,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,11,2
146,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,12,2
147,CDRS_57136,Herbarium,2016,South America,island,Galapagos,Galapagos,Espanola,0,13,2
