ID,Herbarium,year_collected,continent,mainland_island,island_group,location,Galapagos_island,finch_beak,site,individual_sample,length,length_log,length_sqr
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.93,1.5953389880545987,2.2203603311174516
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.93,1.5953389880545987,2.2203603311174516
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.45,1.4929040961781488,2.1095023109728985
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,3.61,1.2837077723447896,1.9
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.63,1.728109442151599,2.3727621035409343
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.29,1.665818245870208,2.3
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.99,1.7900914121273581,2.4474476501040834
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,5.67,1.7351891177396608,2.3811761799581315
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,7.1,1.9600947840472698,2.6645825188948455
CDRS_9051,Herbarium,1998,South America,island,Galapagos,Galapagos,Fernandina,1,Cabo Douglas,15,4.42,1.4861396960896067,2.1023796041628637
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.74,1.9080599249242156,2.596150997149434
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.21,1.6505798557652755,2.2825424421026654
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.59,1.8855533485144158,2.567099530598687
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.92,1.7783364488959144,2.4331050121192876
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,5.93,1.780024213009634,2.435159132377184
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,7.1,1.9600947840472698,2.6645825188948455
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.21,1.8261608959453874,2.4919871588754225
CDRS_9431,Herbarium,1999,South America,island,Galapagos,Galapagos,Espanola,0,Punta Cevallos,16,6.01,1.7934247485471162,2.4515301344262523
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,6.07,1.803358605071407,2.463736998950984
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,4.73,1.5539252025038417,2.1748563170931545
CDRS_9780,Herbarium,1999,South America,island,Galapagos,Galapagos,Daphne Mayor,1,Crater,18,5.85,1.766441661243765,2.4186773244895647
